mCode,mTitle,mUPC,mDesc,mBrand,mCurr,mLowest,mHighest,mImages,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
0014800582055,NA,NA,NA,NA,NA,NA,NA,NA,014800582055,Lime Juice,ReaLime,100% Lime Juice,70,Fruit Juice,Drinks
0028400159630,NA,NA,NA,NA,NA,NA,NA,NA,028400159630,Chips,Ruffles,Sour Cream & Onion Potato Chips,38,"Chips, Puffs, & Snack Mix",Snacks
007800001133,NA,NA,NA,NA,NA,NA,NA,NA,007800001133,Seltzer,Schweppes,"Seltzer, Lemon Lime Sparkling Seltzer Water",100,Unsweetened Water,Coffee tea water
007153702083,NA,NA,NA,NA,NA,NA,NA,NA,007153702083,Seltzer,Polar,Chocolate Seltzer,100,Unsweetened Water,Coffee tea water
0013300513057,NA,NA,NA,NA,NA,NA,NA,NA,013300513057,Cornbread Mix,Martha White,Sweet Yellow Cornbread & Muffin Mix,0,Baking Mixes,Desserts
0073410955789,NA,NA,NA,NA,NA,NA,NA,NA,073410955789,Bread,Arnold,Honey Wheat Thin Sandwich Bread,65,Bread Products,Grains
0041501010181,NA,NA,NA,NA,NA,NA,NA,NA,041501010181,Grande Tacos & Tortillas,Ortega,Grande Tacos & Tortillas,50,"Chips, Puffs, & Snack Mix",Snacks
000000004240,NA,NA,NA,NA,NA,NA,NA,NA,000000004240,BLUEBERRIES,,BLUEBERRIES,100,Fresh,Produce
0012993112059,NA,NA,NA,NA,NA,NA,NA,NA,012993112059,Sparkling Water,LaCroix,Passion Fruit Sparkling Water,100,Unsweetened Water,Coffee tea water
0021273100129,NA,NA,NA,NA,NA,NA,NA,NA,021273100129,Honey,Gunters,"Honey, Pure, Clover",38,"Jams, Syrup, & Honey",Spreads dips
0041268118830,NA,NA,NA,NA,NA,NA,NA,NA,041268118830,Honey,Hannaford,"Honey, Pure Clover",38,"Jams, Syrup, & Honey",Spreads dips
0011110428509,NA,NA,NA,NA,NA,NA,NA,NA,011110428509,Milk,Simple Truth Organic,Organic Ultra-Pasteurized Whole Milk,72,Milk & Substitutes,Dairy and eggs
0014500021298,NA,NA,NA,NA,NA,NA,NA,NA,014500021298,Vegetables,Birds Eye,"Steamfresh Frozen Broccoli, Cauliflower & Carrots",95,Frozen,Produce
0014500024022,NA,NA,NA,NA,NA,NA,NA,NA,014500024022,Pasta Dinner,Steamfresh,Rotini & Vegetables Dinner,46,Meals & Entrees,Prepared meals
0688267097126,NA,NA,NA,NA,NA,NA,NA,NA,688267097126,Honey Wheat Bread,Stop & Shop Brand,Honey Wheat Bread,60,Bread Products,Grains
0070025000101,NA,NA,NA,NA,NA,NA,NA,NA,070025000101,Sausage,Neese's,"Sausage, Country, Roll",17,Sausages & Hot Dogs,Meats
0033383200309,NA,NA,NA,NA,NA,NA,NA,NA,033383200309,California Giant Strawberries,,,100,Fresh,Produce
