code,nutritionix_title,peapod_title
200,Prince Cavatappi,Prince Pasta Cavatappi
200,"Utz Pretzels, Sourdough Hard, Old Fashioned",Utz Old Fashioned Sourdough Hards Pretzels
200,"Tinkyada Organic Brown Rice Pasta, Spaghetti Style",Tinkyada Brown Rice Pasta Spaghetti Style Gluten Free Organic
200,"Kraft Singles Cheese Slices, White American 72 Ct",Kraft Singles Cheese Slices White American - 24 ct
200,Cascadian Farm Cut Spinach,Cascadian Farm Spinach Cut Organic
400,No match,Stop & Shop Jasmine Rice White
200,Goya Black Beans,Goya Black Beans
400,No match,Nabisco belVita Soft Baked Breakfast Biscuits Oats & Chocolate - 5 ct
200,The Fresh Market Electrolyte Enhanced Water,Glaceau Smart Water Electrolyte Enhanced - 6 pk
200,"Ahold Nature's Promise, Organic Coconut Water",Nature's Promise Organic Coconut Unsweetened
200,"Zatarain's New Orleans Style Jambalaya Mix, Original",Zatarain's New Orleans Style Jambalaya Mix Original
200,"Al Fresco Chicken Breakfast Sausage, Apple Maple",Al Fresco Breakfast Chicken Sausage Links Apple Maple - 7 ct All Natural
200,Snickers Ice Cream Bars,Snickers Ice Cream Bars - 6 ct
200,"Amy's Burrito, Especial",Amy's Burrito Especial Organic
200,"Giant Nature's Promise Kombucha, Raspberry Lemon Ginger",Nature's Promise Organic Raspberry Lemon Ginger Kombucha Drink
200,"Bachman Jax Puffed Curls, Cheddar Cheese",Bachman Jax Curls Puffed Cheddar Cheese
200,"Black Forest Fruit Flavored Snacks, Juicy Center Fruity Medleys, Berry Mix",Black Forest Organic Fruit Flavored Snacks Berry Medley - 8 ct
200,"Colavita Vinegar, Organic Balsamic",Colavita Vinegar Balsamic Organic
200,Land O Lakes Spreadable Butter with Canola Oil,Land O Lakes Butter Spreadable with Canola Oil
200,"Tostitos Tortilla Chips, Original Restaurant Style",Tostitos Tortilla Chips Original Restaurant Style
400,No match,Maple Grove Farms Pancake & Waffle Mix Buttermilk & Honey
200,"Joseph's Hommus, Original",Joseph's Hommus Original All Natural
200,Idahoan Original Mashed Potatoes,Idahoan Mashed Potatoes Original Value Size
200,"Nabisco Variety Pack Cookies, Chips Ahoy!/Golden Oreo/Oreo/Nutter Butter Packs","Nabisco Cookies Chips Ahoy!, Nutter Butter, Oreo Variety Pack - 12 pk"
200,"Crofter's Premium Spread, Strawberry, Organic",Crofter's Premium Spread Strawberry Organic
200,"Swiss Miss Simply Cocoa, Dark Chocolate",Swiss Miss Simply Cocoa Dark Chocolate - 8 ct
200,Sprite Zero Lemon-Lime Soda,Sprite Zero Lemon Lime Soda
200,"Prince Ziti with lines, Ziti Rigati",Prince Pasta Ziti Rigati
200,Duncan Hines Creamy Home-Style Frosting Lemon Supreme,Duncan Hines Creamy Home-Style Frosting Lemon Supreme
200,"Breyers Ice Cream, Mint Chocolate Chip",Breyers Ice Cream Mint Chocolate Chip
200,Trader Joe's Cabot Extra Sharp Cheddar Cheese,Cabot Cheddar Cheese Extra Sharp Chunk
200,"Friendly's Grocery Premium Ice Cream, Forbidden Chocolate",Friendly's Ice Cream Forbidden Chocolate
200,"Pepperidge Farm Bread, White, Family Size",Pepperidge Farm Bread White Family Size
400,No match,Cascadian Farm Granola Bars Sweet & Salty Peanut Pretzel Organic - 5 ct
200,Madison Portuguese Bakery Portuguese Rolls,The Bake Shop Portuguese Rolls
200,The Gourmet Collection Herbes de Provence Spice Blend,McCormick Gourmet Herbes De Provence Organic
400,No match,Annie's Homegrown Macaroni & Cheese White Cheddar Organic - 12 ct
200,"Entenmann's Minis Snack Pies, Cherry",Entenmann's Mini Snack Pies Apple - 6 ct
400,No match,Stop & Shop Cashews Jumbo Natural
200,"Cento Tomatoes, Whole, Peeled, Italian Style, With Basil Leaf",Cento Tomatoes Whole Peeled Italian Style with Basil Leaf
200,"Hatfield Boneless Ham Steak, Hickory Smoked",Hatfield Boneless Ham Steak Classic - 2 ct
400,No match,Stop & Shop Cottage Cheese Small Curd Low Fat 1%
200,"Samuel Mancino's Italian Eatery SM - Chicken Breast strips, Fajita, grld mrkd - Perdue",Perdue Ground Turkey 93% Lean 7% Fat Fresh
400,No match,Popsicle Ice Pops Orange Cherry & Grape Sugar Free - 18 ct
200,Pure Brazilian Coconut Water Pure Coconut Water,Vita Coco Pure Coconut Water
