,Item,Reg_Price,Sale_Price,Size,Unit_Size,Image,Category,Subcategory
0,Dave's Killer Bread 21 Whole Grains & Seeds Organic,$5.89 ,,27 oz pkg, | $0.22 / oz,./Bread_Bakery_Organic_files/HEOD0.jpg,Bread_Bakery,Organic
1,Food For Life Ezekiel 4:9 Bread Sprouted Grain Flourless Organic,$5.49 ,,24 oz pkg, | $0.23 / oz,./Bread_Bakery_Organic_files/STTJS.jpg,Bread_Bakery,Organic
2,Dave's Killer Bread Good Seed Organic,$5.89 ,,27 oz pkg, | $0.22 / oz,./Bread_Bakery_Organic_files/RI7SF.jpg,Bread_Bakery,Organic
3,Dave's Killer Bread Powerseed Organic,$5.89 ,,25 oz pkg, | $0.24 / oz,./Bread_Bakery_Organic_files/I3UZQ.jpg,Bread_Bakery,Organic
4,Dave's Killer Bread 21 Whole Grains & Seeds Organic,$5.29 ,,20.5 oz pkg, | $0.26 / oz,./Bread_Bakery_Organic_files/UJVAG.jpg,Bread_Bakery,Organic
5,Dave's Killer Bread White Bread Organic,$5.89 ,,24 oz pkg, | $0.25 / oz,./Bread_Bakery_Organic_files/O4FEP.jpg,Bread_Bakery,Organic
6,Dave's Killer Bread Bagels Plain Awesome Organic - 5 ct,$5.29 ,,16.7 oz pkg, | $0.32 / oz,./Bread_Bakery_Organic_files/75I9S.jpg,Bread_Bakery,Organic
7,Dave's Killer Bread Bagels Cinnamon Raisin Remix Organic - 5 ct,$5.29 ,,16.7 oz pkg, | $0.32 / oz,./Bread_Bakery_Organic_files/973OU.jpg,Bread_Bakery,Organic
8,Arnold 100% Whole Grain Bread Organic,$5.99 ,,27 oz pkg, | $0.22 / oz,./Bread_Bakery_Organic_files/UI56V.jpg,Bread_Bakery,Organic
9,Dave's Killer Bread Raisin' The Roof! Organic,$5.89 ,,18 oz pkg, | $0.33 / oz,./Bread_Bakery_Organic_files/W906U.jpg,Bread_Bakery,Organic
10,Dave's Killer Bread English Muffins Killer Classic Non-GMO Organic - 6 ct,$4.99 ,,13.2 oz pkg, | $0.38 / oz,./Bread_Bakery_Organic_files/0GWC6.jpg,Bread_Bakery,Organic
11,Stop & Shop Bagels Plain Pre-Sliced - 6 ct,$2.99 ,,22 oz pkg, | $0.14 / oz,./Bread_Bakery_Bagels_files/DXCNS.jpg,Bread_Bakery,Bagels
12,Thomas' Bagels Plain - 6 ct,$4.69 ,,20 oz pkg, | $0.23 / oz,./Bread_Bakery_Bagels_files/L4SEG.jpg,Bread_Bakery,Bagels
13,Stop & Shop Bagels Everything Pre-Sliced - 6 ct,$2.99 ,,22 oz pkg, | $0.14 / oz,./Bread_Bakery_Bagels_files/C489L.jpg,Bread_Bakery,Bagels
14,Stop & Shop Bagels Cinnamon Raisin Pre-Sliced - 6 ct,$2.99 ,,22 oz pkg, | $0.14 / oz,./Bread_Bakery_Bagels_files/3RIFN.jpg,Bread_Bakery,Bagels
