mCode,mTitle,mUPC,mDesc,mBrand,mCurr,mLowest,mHighest,mImages,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
INVALID_UPC,NA,NA,NA,NA,NA,NA,NA,NA,000000004092,PEAS pod,,PEAS pod,100,Fresh,Produce
INVALID_UPC,NA,NA,NA,NA,NA,NA,NA,NA,000000003089,EGGPLANT (AUBERGINE),,EGGPLANT (AUBERGINE),100,Fresh,Produce
OK,NA,NA,NA,NA,NA,NA,NA,NA,011110972934,Sausage Links,Kroger,"Sausage Links, Breakfast",13,Sausages & Hot Dogs,Meats
OK,"Swanson Unsalted Beef Flavored Broth, 32 oz",051000224644,"Made from simple, high-quality ingredients you can recognizeCrafted with real farm-sourced beef and vegetables that are picked at peak freshness100% natural. No MSG added*Except small amount of glutamate occurs naturally in yeast extractPerfect broth to season to your tasteBuild your confidence in the kitchen by discovering our balanced product made with careSwanson &reg; 100% Natural Unsalted Beef Broth adds richness to your food without adding salt. Let our trustworthy broth act as the perfect foundation...",Campbell Soup Company,,1.98,55.85,"['https://jetimages.jetcdn.net/md5/ff3ad1704e14b43ce9464918b23a1f31.500', 'https://target.scene7.com/is/image/Target/GUEST_e803c7af-7900-4615-b7e0-3865a94cbb50?wid=1000&hei=1000', 'https://i5.walmartimages.com/asr/f22d357c-6439-4b4c-b750-78ed2c6a3a7d_1.fd447b60cdcdde8882f1fa4864cb2847.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff']",051000224644,Broth,Swanson,"Broth, Unsalted Beef Flavored",60,Soups & Broths,Prepared meals
INVALID_UPC,NA,NA,NA,NA,NA,NA,NA,NA,004000049572,Chocolate Candies,Mars,Fun Size Variety Pack,5,"Cookies, Candy, & Chocolate",Desserts
OK,Gatorade Fierce Blue Cherry 32 oz,052000104066,"The proven classic. With a legacy over 50 years in the making, it's the most scientifically researched and game-tested way to replace electrolytes lost in sweat. Gatorade Thirst Quencher is specifically made to help keep you hydrated, which is why it's trusted by some of the world's best athletes. Age Group: Adult.",Gatorade,,0,25.09,"['http://d2ul0w83gls0j4.cloudfront.net/products/11/600/1122281.jpg', 'https://jetimages.jetcdn.net/md5/f8bd36d9657b7e6ccd7218569a0a7061.500', 'http://ct.mywebgrocer.com/legacy/productimagesroot/DJ/4/1290464.jpg', 'https://target.scene7.com/is/image/Target/GUEST_15816b7b-56ef-4c00-a088-25c7591135cf?wid=1000&hei=1000', 'https://i5.walmartimages.com/asr/b5ebb6ed-1b9b-41f5-a22b-66c308f08a53_1.40ab596ddffddf08a560f838d82cac15.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff']",052000104066,Sports Drink,Gatorade,"Thirst Quencher, 02 Perform, Fierce, Blue Cherry",0,Energy Drinks,Drinks
OK,NA,NA,NA,NA,NA,NA,NA,NA,888670006481,Orange Juice,Wellsley Farms,100% Orange Juice,70,Fruit Juice,Drinks
OK,Oreo Red Velvet Sandwich Cookies 12.2 oz,044000044541,"Take a delicious break with Oreo Red Velvet Cookies, a new twist on the classic favorite of millions around the world. Supremely dunkable, this Oreo variety sandwiches scrumptious cream cheese flavored filling between the tempting taste of two red velvet wafers--making it milk's favorite cookie. The resealable container with easy-pull tab keeps cookies fresh and is perfect for snacking, sharing, or traveling. Oreos are a kosher food that contains zero trans fats. This includes 12.2oz package of Oreo Red Ve...",Oreo,,2.38,58.99,"['https://d29pz51ispcyrv.cloudfront.net/images/I/ekuouKdVQndVOwwR9.MD256.JPEG', 'https://jetimages.jetcdn.net/md5/ca6ebc91542e22afde05f3c0fae42308.500', 'https://target.scene7.com/is/image/Target/16863891?wid=1000&hei=1000', 'https://i5.walmartimages.com/asr/f03f97b8-2418-4edc-b98a-62632784b1b3_1.0ed284c88e0e2e9e6b585b20367a6781.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff', 'https://tshop.r10s.com/f64/342/e1e4/03b4/604f/5c72/80c7/1116e9b8bf0242ac110003.jpg?_ex=512x512', 'http://c.shld.net/rpx/i/s/i/spin/10127449/prod_ec_1692159902', 'http://c.shld.net/rpx/i/s/i/spin/10127449/prod_ec_1692159902', 'https://pics.drugstore.com/prodimg/595948/450.jpg']",044000044541,Cookies,Oreo,Red Velvet,0,"Cookies, Candy, & Chocolate",Desserts
OK,NA,NA,NA,NA,NA,NA,NA,NA,041735157515,Waffles,Price Chopper,Buttermilk Waffles,80,Bread Products,Grains
OK,"Mccormick Coarse Ground Black Pepper, 3.12 Oz,new,fast Ship....",005210003025,,McCormick,NA,6.89,7.1,[],005210003025,Black Pepper,McCormick,"Black Pepper, Course Ground",100,Spices,Seasonings
