mCode,mTitle,mUPC,mBrand,mIngredients,mNutrients,CurrUPC,ProductName,BrandName,ProductDesc,ProductScore,Subcatecory,Category
200,"NATURE'S PLACE, SPRING WATER",725439949859,"Delhaize America, Inc.",,"['Total lipid (fat): 0.0g', 'Carbohydrate, by difference: 0.0g', 'Sodium, Na: 0.0mg', 'Protein: 0.0g', 'Energy: 0.0kcal']",725439949859,Nature's Place All Natural Spring Water 1 Gal,Natures Place,Nature's Place All Natural Spring Water 1 Gal,100,Unsweetened Water,Coffee tea water
200,"STOP & SHOP, SELTZER WATER, PEACH & PEAR",688267171390,"Ahold USA, Inc.","CARBONATED WATER, NATURAL FLAVORS.","['Total lipid (fat): 0.0g', 'Carbohydrate, by difference: 0.0g', 'Sodium, Na: 0.0mg', 'Protein: 0.0g', 'Energy: 0.0kcal']",688267171390,Seltzer,Stop & Shop,Peach & Pear Seltzer Water,100,Unsweetened Water,Coffee tea water
200,GRANULATED PURE CANE SUGAR,688267150340,NOT A BRANDED ITEM,CANE SUGAR.,"['Total lipid (fat): 0.0g', 'Sodium, Na: 0.0mg', 'Fatty acids, total saturated: 0.0g', 'Protein: 0.0g', 'Carbohydrate, by difference: 100.0g', 'Energy: 375.0kcal', 'Sugars, total including NLEA: 100.0g', 'Sugars, added: 100.0g']",688267150340,Sugar,Foodhold USA,Granulated Sugar,5,Sugar & Sweeteners,Baking ingredients
200,NO CALORIE SWEETENER,722776200018,SPLENDA,"DEXTROSE, MALTODEXTRIN, SUCRALOSE.","['Protein: 0.0g', 'Total lipid (fat): 0.0g', 'Sodium, Na: 0.0mg', 'Energy: 0.0kcal', 'Carbohydrate, by difference: 100.0g', 'Sugars, total including NLEA: 100.0g']",722776200018,Sweetener,Splenda,"Sweetener, No Calorie",0,Sugar & Sweeteners,Baking ingredients
200,PREMIUM BAKING BAR,747599618260,GHIRARDELLI,"SEMI-SWEET CHOCOLATE (SUGAR, UNSWEETENED CHOCOLATE, COCOA BUTTER, MILK FAT, SOY LECITHIN-AN EMULSIFIER, VANILLA.","['Calcium, Ca: 0.0mg', 'Iron, Fe: 4.8mg', 'Sodium, Na: 0.0mg', 'Vitamin A, IU: 0.0IU', 'Vitamin C, total ascorbic acid: 0.0mg', 'Cholesterol: 0.0mg', 'Protein: 6.67g', 'Total lipid (fat): 33.33g', 'Carbohydrate, by difference: 60.0g', 'Energy: 467.0kcal', 'Sugars, total including NLEA: 46.67g', 'Fiber, total dietary: 6.7g', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 20.0g']",747599618260,Baking Bar,Ghirardelli,"Baking Bar, Premium, Semi-Sweet Chocolate",44,Cocoa & Chocolate,Baking ingredients
200,PURE CLOVER HONEY,688267071447,"Ahold USA, Inc.",HONEY.,"['Total lipid (fat): 0.0g', 'Sodium, Na: 0.0mg', 'Protein: 0.0g', 'Carbohydrate, by difference: 80.95g', 'Energy: 286.0kcal', 'Sugars, total including NLEA: 76.19g']",688267071447,Honey,Giant,"Honey, Pure Clover",38,"Jams, Syrup, & Honey",Spreads dips
200,ALL NATURAL ROASTED RED PEPPER HUMMUS,725439980906,"Delhaize America, Inc.","FRESH STEAMED CHICKPEAS, ROASTED RED PEPPERS, SESAME TAHINI, SUNFLOWER OIL, OLIVE OIL, WATER, SEA SALT, CITRIC ACID, GUAR GUM, GARLIC, PAPRIKA, WHITE VINEGAR, SUGAR, BASIL.","['Calcium, Ca: 0.0mg', 'Iron, Fe: 1.29mg', 'Copper, Cu: 0.143mg', 'Manganese, Mn: 0.0mg', 'Vitamin A, IU: 357.0IU', 'Vitamin C, total ascorbic acid: 8.6mg', 'Cholesterol: 0.0mg', 'Fatty acids, total saturated: 0.0g', 'Protein: 3.57g', 'Total lipid (fat): 12.5g', 'Carbohydrate, by difference: 14.29g', 'Energy: 179.0kcal', 'Sugars, total including NLEA: 3.57g', 'Fiber, total dietary: 3.6g', 'Potassium, K: 161.0mg', 'Sodium, Na: 429.0mg', 'Fatty acids, total trans: 0.0g']",725439980906,Hummus,Taste of Inspirations,Roasted Red Pepper Hummus,80,"Dips, Salsa, & Hummus",Spreads dips
200,HUMMUS,725439980869,"Delhaize America, Inc.","FRESH STEAMED CHICKPEAS, WATER, SUNFLOWER OIL, OLIVE OIL, SESAME TAHINI, ONION, POPPY SEED, GARLIC, SPICE, SEA SALT, CITRIC ACID, GUAR GUM, CUMIN.","['Vitamin D: 0.0IU', 'Cholesterol: 0.0mg', 'Fatty acids, total saturated: 0.0g', 'Protein: 3.57g', 'Total lipid (fat): 12.5g', 'Carbohydrate, by difference: 14.29g', 'Energy: 179.0kcal', 'Sugars, total including NLEA: 3.57g', 'Fiber, total dietary: 3.6g', 'Calcium, Ca: 68.0mg', 'Iron, Fe: 1.43mg', 'Phosphorus, P: 129.0mg', 'Potassium, K: 175.0mg', 'Sodium, Na: 214.0mg', 'Copper, Cu: 0.357mg', 'Manganese, Mn: 0.0mg', 'Molybdenum, Mo: 29.0µg', 'Fatty acids, total trans: 0.0g']",725439980869,Taste of Inspirations Hummus,Taste of Inspirations,Taste of Inspirations All Natural Everythig Hummus,80,"Dips, Salsa, & Hummus",Spreads dips
200,ORIGINAL HUMMUS,725439977920,"Delhaize America, Inc.","FRESH STEAMED CHICKPEAS, SUNFLOWER OIL, OLIVE OIL, SESAME TAHINI, WATER, SEA SALT, CITRIC ACID, GARLIC, GUAR GUM, CUMIN, SESAME SEEDS.","['Vitamin D: 0.0IU', 'Cholesterol: 0.0mg', 'Protein: 7.14g', 'Total lipid (fat): 16.07g', 'Carbohydrate, by difference: 14.29g', 'Energy: 214.0kcal', 'Sugars, total including NLEA: 3.57g', 'Fiber, total dietary: 3.6g', 'Calcium, Ca: 25.0mg', 'Iron, Fe: 1.43mg', 'Phosphorus, P: 71.0mg', 'Potassium, K: 150.0mg', 'Sodium, Na: 411.0mg', 'Copper, Cu: 0.143mg', 'Manganese, Mn: 0.0mg', 'Molybdenum, Mo: 32.0µg', 'Fatty acids, total trans: 0.0g', 'Fatty acids, total saturated: 1.79g']",725439977920,Hummas,Taste of Inspiration,All Natural Original Hummas,58,"Dips, Salsa, & Hummus",Spreads dips
200,HUMMUS,896863001731,LANTANA,"BLACK BEANS, WATER, TOMATO PASTE, CANOLA AND OLIVE OIL, TAHINI (GROUND SESAME), APPLE CIDER VINEGAR, RED PEPPERS, CORN, GARLIC, PINEAPPLE, SUGAR, SALT, SPICES, CHIPOTLE PEPPER, CITRIC ACID, LIME JUICE CONCENTRATE, POTASSIUM SORBATE TO MAINTAIN FRESHNESS, NATURAL FLAVOR, DRIED GARLIC, DEHYDRATED CILANTRO, PAPRIKA.","['Vitamin D: 0.0IU', 'Cholesterol: 0.0mg', 'Fatty acids, total saturated: 0.0g', 'Protein: 7.14g', 'Total lipid (fat): 7.14g', 'Carbohydrate, by difference: 17.86g', 'Energy: 161.0kcal', 'Fiber, total dietary: 7.1g', 'Calcium, Ca: 29.0mg', 'Iron, Fe: 3.57mg', 'Sodium, Na: 536.0mg', 'Fatty acids, total trans: 0.0g', 'Sugars, total including NLEA: 3.57g']",896863001731,Hummus,Lantana,Black Bean Hummus,80,"Dips, Salsa, & Hummus",Spreads dips
